days_from_event,Sad,Anx,Anger,Negemo,Posemo,Stress
-5,38.0,46.0,205,420,237,48.0
-4,28.0,60.0,276,433,275,54.0
-3,39.0,86.0,338,586,294,30.0
-2,68.0,200.0,578,919,582,40.0
-1,191.0,339.0,882,1423,1117,102.0
0,79.0,155.0,415,682,570,98.0
1,440.0,519.0,1408,2401,2284,159.0
2,204.0,187.0,1023,1567,1287,120.0
3,314.0,356.0,1141,1863,1279,172.0
4,241.0,110.0,505,817,521,168.0
5,78.0,77.0,261,472,358,29.0
6,151.0,75.0,253,601,549,63.0
7,112.0,48.0,245,474,400,26.0
8,58.0,38.0,174,275,278,12.0
9,50.0,41.0,226,384,458,32.0
10,44.0,32.0,140,245,230,12.0
11,46.0,38.0,130,193,180,12.0
12,22.0,23.0,140,194,131,11.0
13,35.0,21.0,102,153,109,11.0
14,14.0,10.0,45,67,53,8.0
15,10.0,10.0,59,79,61,4.0
16,10.0,4.0,30,50,45,1.0
17,6.0,3.0,28,46,44,3.0
18,1.0,7.0,51,78,81,4.0
19,7.0,7.0,38,65,63,1.0
20,6.0,8.0,34,55,44,2.0
21,1.0,1.0,13,26,34,
22,2.0,3.0,14,22,22,
23,,3.0,18,22,19,1.0
24,4.0,4.0,9,21,21,
25,6.0,5.0,26,42,58,3.0
26,3.0,11.0,15,70,72,1.0
27,2.0,,12,24,25,
28,2.0,1.0,8,16,26,1.0
29,5.0,1.0,17,23,19,2.0
30,2.0,2.0,12,25,21,2.0
31,3.0,2.0,11,23,22,3.0
32,,,11,16,39,2.0
33,1.0,3.0,11,14,22,1.0
34,1.0,1.0,1,5,12,
35,1.0,,8,12,12,
36,1.0,3.0,6,15,13,
37,2.0,3.0,8,14,19,1.0
38,4.0,3.0,14,23,15,2.0
39,4.0,3.0,29,43,23,8.0
40,,,44,56,39,2.0
41,3.0,2.0,46,54,36,2.0
42,,1.0,16,20,19,1.0
43,2.0,,14,20,11,
44,,3.0,18,25,31,3.0
45,7.0,1.0,22,41,23,3.0
46,3.0,30.0,22,49,11,
47,8.0,9.0,43,57,26,2.0
48,2.0,3.0,17,22,11,1.0
49,4.0,1.0,9,13,9,2.0
50,,1.0,3,6,6,2.0
51,1.0,1.0,9,12,4,
52,,1.0,3,5,9,
53,3.0,2.0,5,12,7,1.0
54,,4.0,6,15,17,
55,2.0,,13,26,29,
56,2.0,3.0,5,12,16,
57,3.0,2.0,7,12,14,1.0
58,2.0,12.0,31,39,19,2.0
59,8.0,32.0,48,88,58,7.0
60,4.0,8.0,28,45,31,6.0
61,2.0,2.0,11,21,52,2.0
62,1.0,4.0,11,15,24,
63,2.0,1.0,6,12,12,
64,3.0,,5,10,18,
65,4.0,5.0,7,12,8,3.0
66,1.0,,3,7,7,
67,,1.0,4,7,9,
68,,,4,5,5,
69,,1.0,1,3,11,
70,,1.0,4,7,14,
71,2.0,1.0,3,7,6,
72,1.0,2.0,4,7,4,
73,1.0,1.0,4,5,7,
74,2.0,1.0,3,5,7,
75,3.0,35.0,14,42,24,
76,,12.0,13,20,10,
77,,1.0,4,5,4,
78,1.0,5.0,5,10,8,
79,,4.0,3,7,3,
80,,5.0,7,13,6,
81,,,1,1,2,
82,3.0,1.0,13,26,28,1.0
83,1.0,,3,4,7,
84,1.0,1.0,1,2,4,
85,,1.0,1,3,3,
86,,1.0,1,3,9,
87,,1.0,3,5,6,
88,,,5,6,10,1.0
89,1.0,,10,11,11,
90,1.0,1.0,27,30,28,
